n1=n2=n3,c1wait,c2wait,c3wait,c1turn,c2turn,c3turn
100000,3.825,1914.79,3727.679,1914.789,3727.677,5084.6200
200000,2.236,4160.626,8028.9560,4160.625,8028.956,11021.315
300000,3.391,6287.028,11216.186,6287.028,11216.185,15942.569
400000,4.174,6758.626,13165.892,6758.625,13165.892,19142.027
500000,3.974,8309.396,17106.276,8309.395,17106.275,26171.897
600000,3.952,10379.071,21415.420,10379.070,21415.419,33616.583
700000,1.951,12368.528,25986.495,12368.527,25986.494,40894.465
800000,4.193,12973.613,28924.724,12973.612,28924.723,46461.667
900000,2.923,18193.597,39902.430,18193.597,39902.429,59474.819
1000000,3.892,21156.761,46369.408,21156.760,46369.407,66661.730
